"location","activity","date","change","value","source","roll"
"Greater London","Retail & Rec",2020-02-27,0,100,"Google",101.285714285714
"Greater London","Parks",2020-02-27,4,104,"Google",102.285714285714
"Greater London","Retail & Rec",2020-02-28,-2,98,"Google",102.142857142857
"Greater London","Parks",2020-02-28,-9,91,"Google",101
"Greater London","Retail & Rec",2020-02-29,-2,98,"Google",100
"Greater London","Parks",2020-02-29,-21,79,"Google",97.2857142857143
"Greater London","Retail & Rec",2020-03-01,9,109,"Google",97
"Greater London","Parks",2020-03-01,24,124,"Google",100.428571428571
"Greater London","Retail & Rec",2020-03-02,2,102,"Google",100.142857142857
"Greater London","Parks",2020-03-02,15,115,"Google",102.571428571429
"Greater London","Retail & Rec",2020-03-03,-1,99,"Google",103.714285714286
"Greater London","Parks",2020-03-03,3,103,"Google",104.428571428571
"Greater London","Retail & Rec",2020-03-04,-3,97,"Google",107
"Greater London","Parks",2020-03-04,-7,93,"Google",104.714285714286
"Greater London","Retail & Rec",2020-03-05,-9,91,"Google",100
"Greater London","Parks",2020-03-05,-21,79,"Google",96.7142857142857
"Greater London","Retail & Rec",2020-03-06,1,101,"Google",94.7142857142857
"Greater London","Parks",2020-03-06,14,114,"Google",96.8571428571429
"Greater London","Retail & Rec",2020-03-07,-2,98,"Google",96.1428571428571
"Greater London","Parks",2020-03-07,-6,94,"Google",95.7142857142857
"Greater London","Retail & Rec",2020-03-08,-1,99,"Google",96.5714285714286
"Greater London","Parks",2020-03-08,-2,98,"Google",97.5714285714286
"Greater London","Retail & Rec",2020-03-09,-3,97,"Google",100.142857142857
"Greater London","Parks",2020-03-09,3,103,"Google",100.428571428571
"Greater London","Retail & Rec",2020-03-10,-6,94,"Google",97.5714285714286
"Greater London","Parks",2020-03-10,-3,97,"Google",97.4285714285714
"Greater London","Retail & Rec",2020-03-11,-6,94,"Google",97.4285714285714
"Greater London","Parks",2020-03-11,9,109,"Google",98.8571428571429
"Greater London","Retail & Rec",2020-03-12,-8,92,"Google",98
"Greater London","Parks",2020-03-12,-3,97,"Google",98
"Greater London","Retail & Rec",2020-03-13,-13,87,"Google",95.7142857142857
"Greater London","Parks",2020-03-13,-4,96,"Google",96
"Greater London","Retail & Rec",2020-03-14,-20,80,"Google",93.5714285714286
"Greater London","Parks",2020-03-14,-17,83,"Google",92
"Greater London","Retail & Rec",2020-03-15,-24,76,"Google",87.2857142857143
"Greater London","Parks",2020-03-15,-21,79,"Google",85.4285714285714
"Greater London","Retail & Rec",2020-03-16,-14,86,"Google",83.8571428571429
"Greater London","Parks",2020-03-16,26,126,"Google",89.4285714285714
"Greater London","Retail & Rec",2020-03-17,-28,72,"Google",86
"Greater London","Parks",2020-03-17,-8,92,"Google",87.7142857142857
"Greater London","Retail & Rec",2020-03-18,-33,67,"Google",85.4285714285714
"Greater London","Parks",2020-03-18,-7,93,"Google",87.8571428571429
"Greater London","Retail & Rec",2020-03-19,-36,64,"Google",85.7142857142857
"Greater London","Parks",2020-03-19,-28,72,"Google",83.7142857142857
"Greater London","Retail & Rec",2020-03-20,-46,54,"Google",73.4285714285714
"Greater London","Parks",2020-03-20,-22,78,"Google",74.2857142857143
"Greater London","Retail & Rec",2020-03-21,-62,38,"Google",66.5714285714286
"Greater London","Parks",2020-03-21,-23,77,"Google",68
"Greater London","Retail & Rec",2020-03-22,-67,33,"Google",59.4285714285714
"Greater London","Parks",2020-03-22,-6,94,"Google",63.7142857142857
"Greater London","Retail & Rec",2020-03-23,-59,41,"Google",59.2857142857143
"Greater London","Parks",2020-03-23,-5,95,"Google",65.1428571428571
"Greater London","Retail & Rec",2020-03-24,-76,24,"Google",57.4285714285714
"Greater London","Parks",2020-03-24,-19,81,"Google",63.5714285714286
"Greater London","Retail & Rec",2020-03-25,-79,21,"Google",55.5714285714286
"Greater London","Parks",2020-03-25,-17,83,"Google",62.7142857142857
"Greater London","Retail & Rec",2020-03-26,-80,20,"Google",52.1428571428571
"Greater London","Parks",2020-03-26,-20,80,"Google",57.7142857142857
"Greater London","Retail & Rec",2020-03-27,-81,19,"Google",46.8571428571429
"Greater London","Parks",2020-03-27,-30,70,"Google",53.4285714285714
"Greater London","Retail & Rec",2020-03-28,-85,15,"Google",44
"Greater London","Parks",2020-03-28,-57,43,"Google",47.1428571428571
"Greater London","Retail & Rec",2020-03-29,-87,13,"Google",37.1428571428571
"Greater London","Parks",2020-03-29,-59,41,"Google",40.1428571428571
"Greater London","Retail & Rec",2020-03-30,-79,21,"Google",31.7142857142857
"Greater London","Parks",2020-03-30,-41,59,"Google",37.4285714285714
"Greater London","Retail & Rec",2020-03-31,-79,21,"Google",30.4285714285714
"Greater London","Parks",2020-03-31,-30,70,"Google",38.2857142857143
"Greater London","Retail & Rec",2020-04-01,-81,19,"Google",34.8571428571429
"Greater London","Parks",2020-04-01,-32,68,"Google",42.7142857142857
"Greater London","Retail & Rec",2020-04-02,-81,19,"Google",39.5714285714286
"Greater London","Parks",2020-04-02,-28,72,"Google",46.8571428571429
"Greater London","Retail & Rec",2020-04-03,-81,19,"Google",41.1428571428571
"Greater London","Parks",2020-04-03,-27,73,"Google",48.5714285714286
"Greater London","Retail & Rec",2020-04-04,-84,16,"Google",40.8571428571429
"Greater London","Parks",2020-04-04,-30,70,"Google",48.1428571428571
"Greater London","Retail & Rec",2020-04-05,-84,16,"Google",40.7142857142857
"Greater London","Parks",2020-04-05,-15,85,"Google",50.1428571428571
"Greater London","Retail & Rec",2020-04-06,-78,22,"Google",43
"Greater London","Parks",2020-04-06,-24,76,"Google",51.1428571428571
"Greater London","Retail & Rec",2020-04-07,-79,21,"Google",43.7142857142857
"Greater London","Parks",2020-04-07,-9,91,"Google",54.4285714285714
"Greater London","Retail & Rec",2020-04-08,-80,20,"Google",47.2857142857143
"Greater London","Parks",2020-04-08,-19,81,"Google",56.5714285714286
"Greater London","Retail & Rec",2020-04-09,-78,22,"Google",47.5714285714286
"Greater London","Parks",2020-04-09,-10,90,"Google",57.2857142857143
"Greater London","Retail & Rec",2020-04-10,-83,17,"Google",48.8571428571429
"Greater London","Parks",2020-04-10,-13,87,"Google",58.2857142857143
"Greater London","Retail & Rec",2020-04-11,-84,16,"Google",47.5714285714286
"Greater London","Parks",2020-04-11,-34,66,"Google",54.1428571428571
"Greater London","Retail & Rec",2020-04-12,-89,11,"Google",44.1428571428571
"Greater London","Parks",2020-04-12,-25,75,"Google",51.7142857142857
"Greater London","Retail & Rec",2020-04-13,-83,17,"Google",41.2857142857143
"Greater London","Parks",2020-04-13,-20,80,"Google",50.2857142857143
"Greater London","Retail & Rec",2020-04-14,-78,22,"Google",41
"Greater London","Parks",2020-04-14,-16,84,"Google",50.7142857142857
"Greater London","Retail & Rec",2020-04-15,-79,21,"Google",44.2857142857143
