"merged_age_range","date","total"
"Under 25",2020-01-01,1.08565751781016
"Under 25",2020-01-02,1.2040188223603
"Under 25",2020-01-03,1.23688463112755
"Under 25",2020-01-04,1.17485142941946
"Under 25",2020-01-05,0.897833185110714
"Under 25",2020-01-06,0.893270905733604
"Under 25",2020-01-07,0.882643584344321
"Under 25",2020-01-08,0.94318602152222
"Under 25",2020-01-09,0.991571378939812
"Under 25",2020-01-10,1.20790320881221
"Under 25",2020-01-11,1.23234634796018
"Under 25",2020-01-12,0.929181233611815
"Under 25",2020-01-13,0.888033732957513
"Under 25",2020-01-14,0.872868128400862
"Under 25",2020-01-15,0.928344365797079
"Under 25",2020-01-16,0.980425139514868
"Under 25",2020-01-17,1.16877738882863
"Under 25",2020-01-18,1.30973112485042
"Under 25",2020-01-19,1.00709092759015
"Under 25",2020-01-20,0.886027049917877
"Under 25",2020-01-21,0.902368468751864
"Under 25",2020-01-22,0.929349207080006
"Under 25",2020-01-23,1.00825774328883
"Under 25",2020-01-24,1.175010404309
"Under 25",2020-01-25,1.31276064633029
"Under 25",2020-01-26,0.946884437348634
"Under 25",2020-01-27,0.832239545782221
"Under 25",2020-01-28,0.884335317131099
"Under 25",2020-01-29,0.955496077119628
"Under 25",2020-01-30,1.00860568833009
"Under 25",2020-01-31,1.19592910015118
"Under 25",2020-02-01,1.35323025405939
"Under 25",2020-02-02,0.984489497539841
"Under 25",2020-02-03,0.878600223002871
"Under 25",2020-02-04,0.867642953729642
"Under 25",2020-02-05,0.93339856747389
"Under 25",2020-02-06,0.982464817342899
"Under 25",2020-02-07,1.14297846383026
"Under 25",2020-02-08,1.34531150484469
"Under 25",2020-02-09,0.810648956067273
"Under 25",2020-02-10,0.824992690440277
"Under 25",2020-02-11,0.870672475209511
"Under 25",2020-02-12,0.918223964338585
"Under 25",2020-02-13,0.961060198253447
"Under 25",2020-02-14,1.20467871812819
"Under 25",2020-02-15,1.17602424417058
"Under 25",2020-02-16,0.926328684178789
"Under 25",2020-02-17,1.02326737248217
"Under 25",2020-02-18,1.06391095273189
"Under 25",2020-02-19,1.07975445021374
"Under 25",2020-02-20,1.08228904986769
"Under 25",2020-02-21,1.22510249214446
"Under 25",2020-02-22,1.31748490012316
"Under 25",2020-02-23,0.914342577412892
"Under 25",2020-02-24,0.804073994598091
"Under 25",2020-02-25,0.870009579915401
"Under 25",2020-02-26,1.03254190754727
"Under 25",2020-02-27,0.950759825221892
"Under 25",2020-02-28,1.08919695874704
"Under 25",2020-02-29,1.26975643894724
"Under 25",2020-03-01,0.948414195719657
"Under 25",2020-03-02,0.814359369998558
"Under 25",2020-03-03,0.884668264541263
"Under 25",2020-03-04,0.899350945376866
"Under 25",2020-03-05,0.927828447287635
"Under 25",2020-03-06,1.13488874162114
"Under 25",2020-03-07,1.20351490195572
"Under 25",2020-03-08,0.969641842762265
"Under 25",2020-03-09,0.826321480554714
"Under 25",2020-03-10,0.895295585930546
"Under 25",2020-03-11,0.94284707505962
"Under 25",2020-03-12,0.92142745833908
"Under 25",2020-03-13,0.982467816869116
"Under 25",2020-03-14,0.928008418860697
"Under 25",2020-03-15,0.6251942490798
"Under 25",2020-03-16,0.575108160296776
"Under 25",2020-03-17,0.433647504344195
"Under 25",2020-03-18,0.370927411132251
"Under 25",2020-03-19,0.307532424521327
"Under 25",2020-03-20,0.274486644181012
"Under 25",2020-03-21,0.126610001648787
"Under 25",2020-03-22,0.0831198710184682
"Under 25",2020-03-23,0.0960898223837692
"Under 25",2020-03-24,0.0709747893630325
"Under 25",2020-03-25,0.0692890556286895
"Under 25",2020-03-26,0.0719856296983948
"Under 25",2020-03-27,0.0654136677554312
"Under 25",2020-03-28,0.0443419960761436
"Under 25",2020-03-29,0.0424822898211744
"Under 25",2020-03-30,0.0510849310135156
"Under 25",2020-03-31,0.0571559720781246
"Under 25",2020-04-01,0.0542794264353578
"Under 25",2020-04-02,0.0671054005422096
"Under 25",2020-04-03,0.0618832253972075
"Under 25",2020-04-04,0.0416364234277852
"Under 25",2020-04-05,0.0453438378328528
"Under 25",2020-04-06,0.0552992653493731
"Under 25",2020-04-07,0.061712252402799
"Under 25",2020-04-08,0.0674413474785911
"Under 25",2020-04-09,0.0595135996852307
"Under 25",2020-04-10,0.0492222252323288
"Under 25",2020-04-11,0.0402896361560414
"Under 25",2020-04-12,0.0429922092781821
"Under 25",2020-04-13,0.0433251566883459
"Under 25",2020-04-14,0.0605244400205929
"Under 25",2020-04-15,0.0670994014897742
"Under 25",2020-04-16,0.0647357748302328
"Under 25",2020-04-17,0.0610283604251652
"Under 25",2020-04-18,0.0426532628155829
"Under 25",2020-04-19,0.0404606091504499
"Under 25",2020-04-20,0.0591746532226315
"Under 25",2020-04-21,0.0657496146918127
"Under 25",2020-04-22,0.0566460526211169
"Under 25",2020-04-23,0.0625461206913175
"Under 25",2020-04-24,0.0677772944149726
"Under 25",2020-04-25,0.042311316826766
"Under 25",2020-04-26,0.0434961296827544
"Under 25",2020-04-27,0.0674383479523734
"Under 25",2020-04-28,0.0640578819050343
"Under 25",2020-04-29,0.061703253824146
"Under 25",2020-04-30,0.0632270131427336
"Under 25",2020-05-01,0.0635479624480267
"Under 25",2020-05-02,0.051753825360061
"Under 25",2020-05-03,0.0446779430125251
"Under 25",2020-05-04,0.0563071061585177
"Under 25",2020-05-05,0.0569790000312808
"Under 25",2020-05-06,0.060017520089803
"Under 25",2020-05-07,0.0640668804836874
"Under 25",2020-05-08,0.0558031857539454
"Under 25",2020-05-09,0.0512499049554887
"Under 25",2020-05-10,0.0394497688150876
"Under 25",2020-05-11,0.0701349220220787
"Under 25",2020-05-12,0.071310736299414
"Under 25",2020-05-13,0.0603564665524022
"Under 25",2020-05-14,0.0719886292246125
"Under 25",2020-05-15,0.0702968964378341
"Under 25",2020-05-16,0.0573209460200977
"Under 25",2020-05-17,0.0517598244124964
"Under 25",2020-05-18,0.0814401363365605
"Under 25",2020-05-19,0.0780626698154391
"Under 25",2020-05-20,0.0846346317584027
"Under 25",2020-05-21,0.0888579646729133
"Under 25",2020-05-22,0.0794034580347476
"Under 25",2020-05-23,0.0812571652372813
"Under 25",2020-05-24,0.0561361331641093
"Under 25",2020-05-25,0.0627140941595082
"Under 25",2020-05-26,0.0810981903477436
"Under 25",2020-05-27,0.0787405627406376
"Under 25",2020-05-28,0.0797394049711291
"Under 25",2020-05-29,0.0780596702892215
"Under 25",2020-05-30,0.1176774125725
"Under 25",2020-05-31,0.0620422002867452
"Under 25",2020-06-01,0.0885070201054433
"Under 25",2020-06-02,0.0869892598392911
"Under 25",2020-06-03,0.0834558179548497
"Under 25",2020-06-04,0.0841277118276128
"Under 25",2020-06-05,0.0780566707630038
"Under 25",2020-06-06,0.0627140941595082
"Under 25",2020-06-07,0.0598435475691768
"Under 25",2020-06-08,0.0876701522907072
"Under 25",2020-06-09,0.0923824079787016
"Under 25",2020-06-10,0.0829488980240597
"Under 25",2020-06-11,0.0866563124291273
"Under 25",2020-06-12,0.0907116718754471
"Under 25",2020-06-13,0.0750271492831347
"Under 25",2020-06-14,0.0649037482984235
"Under 25",2020-06-15,0.104695463102328
"Under 25",2020-06-16,0.0955979000840677
"Under 25",2020-06-17,0.0984624476219637
"Under 25",2020-06-18,0.0989573694478829
"Under 25",2020-06-19,0.101320996107424
"Under 25",2020-06-20,0.0819350581624798
"Under 25",2020-06-21,0.0642318544256605
"Under 25",2020-06-22,0.0991373410209444
"Under 25",2020-06-23,0.110259584236147
"Under 25",2020-06-24,0.107560010640224
"Under 25",2020-06-25,0.114644891566413
"Under 25",2020-06-26,0.104530489160355
"Under 25",2020-06-27,0.0809242178271175
"Under 25",2020-06-28,0.0699609495014526
"Under 25",2020-06-29,0.0942391147074531
"Under 25",2020-06-30,0.0987953950321275
"Under 25",2020-07-01,0.110094610294174
"Under 25",2020-07-02,0.119033198422897
"Under 25",2020-07-03,0.125095240908853
"Under 25",2020-07-04,0.209054979268275
"Under 25",2020-07-05,0.154427607791665
"Under 25",2020-07-06,0.167247582846081
"Under 25",2020-07-07,0.168768342638451
"Under 25",2020-07-08,0.183609998363592
"Under 25",2020-07-09,0.202327041961991
"Under 25",2020-07-10,0.228965834301315
"Under 25",2020-07-11,0.246156119054909
"Under 25",2020-07-12,0.188154280583395
"Under 25",2020-07-13,0.19911754890906
"Under 25",2020-07-14,0.220195219640783
"Under 25",2020-07-15,0.206028457314623
"Under 25",2020-07-16,0.226593209063121
"Under 25",2020-07-17,0.268085655232457
"Under 25",2020-07-18,0.282756337963189
"Under 25",2020-07-19,0.204513696574689
"Under 25",2020-07-20,0.222039928264664
"Under 25",2020-07-21,0.231320462382204
"Under 25",2020-07-22,0.257623307785147
"Under 25",2020-07-23,0.280890632655785
"Under 25",2020-07-24,0.302820168833332
"Under 25",2020-07-25,0.319506533182354
"Under 25",2020-07-26,0.241770811724643
"Under 25",2020-07-27,0.251039347737312
"Under 25",2020-07-28,0.284775019107696
"Under 25",2020-07-29,0.29303571431122
"Under 25",2020-07-30,0.309047185261261
"Under 25",2020-07-31,0.379692026740348
"Under 25",2020-08-01,0.306356610243991
"Under 25",2020-08-02,0.276496326746866
"Under 25",2020-08-03,0.293875581652174
"Under 25",2020-08-04,0.360642035731785
"Under 25",2020-08-05,0.403631245483749
"Under 25",2020-08-06,0.328439122258641
"Under 25",2020-08-07,0.377664347017188
"Under 25",2020-08-08,0.401948511275624
"Under 25",2020-08-09,0.307028504116755
"Under 25",2020-08-10,0.400097803599308
"Under 25",2020-08-11,0.431454850679062
"Under 25",2020-08-12,0.464515628650465
"Under 25",2020-08-13,0.377838319537814
"Under 25",2020-08-14,0.420329607937641
"Under 25",2020-08-15,0.465169525365922
"Under 25",2020-08-16,0.344951514087037
"Under 25",2020-08-17,0.490800476896102
"Under 25",2020-08-18,0.502438638620747
"Under 25",2020-08-19,0.519637921952994
"Under 25",2020-08-20,0.424708916215472
"Under 25",2020-08-21,0.473946139078889
"Under 25",2020-08-22,0.488790794330248
"Under 25",2020-08-23,0.378852159399394
"Under 25",2020-08-24,0.546114739876563
"Under 25",2020-08-25,0.580345333072867
