"location","activity","date","change","value","source","roll"
"Greater London","Retail & recreation",2020-02-27,0,100,"Google",99.4285714285714
"Greater London","Grocery & pharmacy",2020-02-27,-1,99,"Google",99.7142857142857
"Greater London","Retail & recreation",2020-02-28,-2,98,"Google",99.4285714285714
"Greater London","Grocery & pharmacy",2020-02-28,-1,99,"Google",99.4285714285714
"Greater London","Retail & recreation",2020-02-29,-2,98,"Google",98.8571428571429
"Greater London","Grocery & pharmacy",2020-02-29,0,100,"Google",99.1428571428571
"Greater London","Retail & recreation",2020-03-01,9,109,"Google",100.428571428571
"Greater London","Grocery & pharmacy",2020-03-01,4,104,"Google",101
"Greater London","Retail & recreation",2020-03-02,2,102,"Google",101.428571428571
"Greater London","Grocery & pharmacy",2020-03-02,6,106,"Google",102.571428571429
"Greater London","Retail & recreation",2020-03-03,-1,99,"Google",102.571428571429
"Greater London","Grocery & pharmacy",2020-03-03,2,102,"Google",103.142857142857
"Greater London","Retail & recreation",2020-03-04,-3,97,"Google",102.714285714286
"Greater London","Grocery & pharmacy",2020-03-04,1,101,"Google",101.571428571429
"Greater London","Retail & recreation",2020-03-05,-9,91,"Google",99.7142857142857
"Greater London","Grocery & pharmacy",2020-03-05,-5,95,"Google",98.7142857142857
"Greater London","Retail & recreation",2020-03-06,1,101,"Google",98
"Greater London","Grocery & pharmacy",2020-03-06,8,108,"Google",99.2857142857143
"Greater London","Retail & recreation",2020-03-07,-2,98,"Google",98.7142857142857
"Greater London","Grocery & pharmacy",2020-03-07,3,103,"Google",99.5714285714286
"Greater London","Retail & recreation",2020-03-08,-1,99,"Google",99.2857142857143
"Greater London","Grocery & pharmacy",2020-03-08,3,103,"Google",101
"Greater London","Retail & recreation",2020-03-09,-3,97,"Google",101.285714285714
"Greater London","Grocery & pharmacy",2020-03-09,6,106,"Google",102
"Greater London","Retail & recreation",2020-03-10,-6,94,"Google",100
"Greater London","Grocery & pharmacy",2020-03-10,7,107,"Google",101.285714285714
"Greater London","Retail & recreation",2020-03-11,-6,94,"Google",100
"Greater London","Grocery & pharmacy",2020-03-11,8,108,"Google",101.285714285714
"Greater London","Retail & recreation",2020-03-12,-8,92,"Google",99.7142857142857
"Greater London","Grocery & pharmacy",2020-03-12,14,114,"Google",102.142857142857
"Greater London","Retail & recreation",2020-03-13,-13,87,"Google",99.4285714285714
"Greater London","Grocery & pharmacy",2020-03-13,15,115,"Google",102.428571428571
"Greater London","Retail & recreation",2020-03-14,-20,80,"Google",98.5714285714286
"Greater London","Grocery & pharmacy",2020-03-14,9,109,"Google",100.714285714286
"Greater London","Retail & recreation",2020-03-15,-24,76,"Google",96.1428571428571
"Greater London","Grocery & pharmacy",2020-03-15,6,106,"Google",98.1428571428571
"Greater London","Retail & recreation",2020-03-16,-14,86,"Google",94.1428571428571
"Greater London","Grocery & pharmacy",2020-03-16,23,123,"Google",99.2857142857143
"Greater London","Retail & recreation",2020-03-17,-28,72,"Google",93.1428571428571
"Greater London","Grocery & pharmacy",2020-03-17,19,119,"Google",98.7142857142857
"Greater London","Retail & recreation",2020-03-18,-33,67,"Google",92.7142857142857
"Greater London","Grocery & pharmacy",2020-03-18,28,128,"Google",100.142857142857
"Greater London","Retail & recreation",2020-03-19,-36,64,"Google",94.1428571428571
"Greater London","Grocery & pharmacy",2020-03-19,30,130,"Google",100.428571428571
"Greater London","Retail & recreation",2020-03-20,-46,54,"Google",90.5714285714286
"Greater London","Grocery & pharmacy",2020-03-20,8,108,"Google",95.7142857142857
"Greater London","Retail & recreation",2020-03-21,-62,38,"Google",84.1428571428571
"Greater London","Grocery & pharmacy",2020-03-21,-8,92,"Google",87.7142857142857
"Greater London","Retail & recreation",2020-03-22,-67,33,"Google",74.1428571428571
"Greater London","Grocery & pharmacy",2020-03-22,-20,80,"Google",76.4285714285714
"Greater London","Retail & recreation",2020-03-23,-59,41,"Google",63.7142857142857
"Greater London","Grocery & pharmacy",2020-03-23,-13,87,"Google",68.4285714285714
"Greater London","Retail & recreation",2020-03-24,-76,24,"Google",56.4285714285714
"Greater London","Grocery & pharmacy",2020-03-24,-25,75,"Google",61.7142857142857
"Greater London","Retail & recreation",2020-03-25,-79,21,"Google",51.5714285714286
"Greater London","Grocery & pharmacy",2020-03-25,-28,72,"Google",57.1428571428571
"Greater London","Retail & recreation",2020-03-26,-80,20,"Google",48.5714285714286
"Greater London","Grocery & pharmacy",2020-03-26,-32,68,"Google",52.4285714285714
"Greater London","Retail & recreation",2020-03-27,-81,19,"Google",42.7142857142857
"Greater London","Grocery & pharmacy",2020-03-27,-32,68,"Google",49
"Greater London","Retail & recreation",2020-03-28,-85,15,"Google",40.4285714285714
"Greater London","Grocery & pharmacy",2020-03-28,-41,59,"Google",45.8571428571429
"Greater London","Retail & recreation",2020-03-29,-87,13,"Google",37.4285714285714
"Greater London","Grocery & pharmacy",2020-03-29,-48,52,"Google",42
"Greater London","Retail & recreation",2020-03-30,-79,21,"Google",35.2857142857143
"Greater London","Grocery & pharmacy",2020-03-30,-36,64,"Google",41.7142857142857
"Greater London","Retail & recreation",2020-03-31,-79,21,"Google",35
