Borough ,No_of_Crimes Absconding from Lawful Custody,No_of_Crimes Aggravated Vehicle Taking,No_of_Crimes Aiding Suicide,No_of_Crimes Arson,No_of_Crimes Bail Offences,No_of_Crimes Bicycle Theft,No_of_Crimes Bigamy,No_of_Crimes Burglary - Business and Community,No_of_Crimes Burglary - Residential,No_of_Crimes Criminal Damage,No_of_Crimes Dangerous Driving,"No_of_Crimes Disclosure, Obstruction, False or Misleading State",No_of_Crimes Drug Trafficking,No_of_Crimes Exploitation of Prostitution,No_of_Crimes Forgery or Use of Drug Prescription,No_of_Crimes Fraud or Forgery Associated with Driver Records,No_of_Crimes Going Equipped for Stealing,No_of_Crimes Handling Stolen Goods,No_of_Crimes Homicide,No_of_Crimes Interfering with a Motor Vehicle,"No_of_Crimes Making, Supplying or Possessing Articles for use i",No_of_Crimes Obscene Publications,No_of_Crimes Offender Management Act,No_of_Crimes Other Firearm Offences,No_of_Crimes Other Forgery,No_of_Crimes Other Knife Offences,No_of_Crimes Other Notifiable Offences,"No_of_Crimes Other Offences Against the State, or Public Order",No_of_Crimes Other Theft,No_of_Crimes Perjury,No_of_Crimes Perverting Course of Justice,No_of_Crimes Possession of Article with Blade or Point,No_of_Crimes Possession of Drugs,No_of_Crimes Possession of False Documents,No_of_Crimes Possession of Firearm with Intent,No_of_Crimes Possession of Firearms Offences,No_of_Crimes Possession of Other Weapon,No_of_Crimes Profitting From or Concealing Proceeds of Crime,No_of_Crimes Public Fear Alarm or Distress,"No_of_Crimes Racially or Religiously Aggravated Public Fear, Al",No_of_Crimes Robbery of Business Property,No_of_Crimes Robbery of Personal Property,No_of_Crimes Shoplifting,No_of_Crimes Soliciting for Prostitution,No_of_Crimes Theft from Person,No_of_Crimes Theft from a Motor Vehicle,No_of_Crimes Theft or Taking of a Motor Vehicle,No_of_Crimes Threat or Possession With Intent to Commit Crimina,No_of_Crimes Violence with Injury,No_of_Crimes Violence without Injury,No_of_Crimes Violent Disorder,No_of_Crimes Wildlife Crime,Total 
Barking and Dagenham,0,109,0,223,2,682,6,1114,3783,5023,62,2,382,2,0,11,23,68,7,987,28,459,0,6,53,0,85,656,6687,0,60,271,5196,16,36,53,280,40,3010,922,236,2515,3082,0,1879,3971,4109,268,7548,16605,10,0,70567
Barnet,0,139,0,220,0,1048,0,2215,8883,7104,44,4,456,0,6,16,45,45,17,2553,63,561,0,6,76,0,134,701,11137,2,38,229,3660,34,47,44,244,62,4923,1653,390,3259,5837,0,2290,13641,4919,309,8608,20712,4,0,106378
Bexley,0,115,0,229,0,332,0,914,3314,5447,51,4,193,2,4,2,32,20,14,1454,28,272,0,6,36,0,111,695,5078,0,51,197,3032,10,31,36,160,14,3307,874,170,925,2953,0,496,5442,2719,329,6568,13936,2,2,59607
Brent,13,169,0,295,3,1366,8,1652,6697,7637,70,2,536,2,12,16,61,42,36,2067,83,487,0,10,79,0,127,887,10608,0,63,453,7538,42,71,88,374,84,5424,1610,330,3516,3872,0,2638,9426,4320,332,10881,23411,21,0,107459
Bromley,2,118,0,407,0,593,0,1670,5687,6759,69,0,271,0,2,8,35,67,4,2364,45,382,0,18,70,0,165,599,7459,0,45,254,4370,21,24,63,251,40,4779,1097,300,1479,7216,0,1374,8603,3688,405,7953,17218,4,0,85978
Camden,4,71,0,167,0,5685,0,3643,5509,5969,28,2,617,6,4,8,68,97,16,1372,68,247,0,2,68,0,38,712,19467,2,77,327,6863,36,17,70,264,72,5314,1641,395,4701,4897,0,13165,8472,1966,207,7802,16974,9,0,117139
Croydon,2,194,0,306,4,946,0,2142,7119,9299,50,4,628,2,4,20,58,122,30,2384,49,548,4,24,104,2,192,1199,11191,2,90,603,9158,29,60,105,515,70,5906,1687,379,3221,5416,0,1696,11809,4286,497,13347,27734,4,0,123241
Ealing,5,156,0,268,16,2240,6,1957,6917,7670,48,2,695,6,19,17,56,58,24,2242,72,480,0,10,105,0,190,834,10805,0,93,366,6584,26,31,65,372,138,5754,1717,275,3102,4276,0,2049,12369,3946,371,10339,23798,6,0,110575
Enfield,22,177,0,286,0,960,4,1935,7934,7063,57,4,632,4,26,22,37,106,21,3123,47,495,0,6,64,0,138,753,10490,4,100,394,4462,32,58,92,348,88,4875,1238,342,4334,3751,6,2507,13761,5623,368,10128,22574,4,2,109497
Greenwich,0,117,0,292,2,1710,0,1596,5091,7421,53,7,394,0,11,6,45,82,28,2010,76,392,132,2,85,0,124,939,8859,2,107,439,6585,35,59,52,381,54,5292,1419,412,2445,5611,0,1488,7511,3733,453,10376,22053,6,0,97987
