Borough,Month,Anti-social behaviour,Bicycle theft,Burglary,Criminal damage and arson,Drugs,Other crime,Other theft,Possession of weapons,Public order,Robbery,Shoplifting,Theft from the person,Vehicle crime,Violence and sexual offences,Total
Barking and Dagenham,2019-01,358.0,21.0,161.0,100.0,75.0,15.0,158.0,8.0,53.0,84.0,53.0,46.0,244.0,502.0,1878.0
Barking and Dagenham,2019-02,345.0,15.0,129.0,129.0,65.0,26.0,171.0,11.0,80.0,71.0,60.0,51.0,236.0,470.0,1859.0
Barking and Dagenham,2019-03,347.0,14.0,127.0,133.0,107.0,16.0,183.0,22.0,94.0,84.0,58.0,47.0,210.0,513.0,1955.0
Barking and Dagenham,2019-04,374.0,13.0,120.0,123.0,88.0,20.0,169.0,9.0,88.0,93.0,66.0,54.0,228.0,480.0,1925.0
Barking and Dagenham,2019-05,406.0,24.0,137.0,142.0,79.0,31.0,165.0,23.0,105.0,129.0,55.0,67.0,214.0,527.0,2104.0
Barking and Dagenham,2019-06,443.0,13.0,122.0,112.0,92.0,24.0,147.0,5.0,106.0,104.0,67.0,33.0,233.0,522.0,2023.0
Barking and Dagenham,2019-07,494.0,18.0,96.0,123.0,89.0,14.0,144.0,8.0,92.0,94.0,67.0,50.0,169.0,608.0,2066.0
Barking and Dagenham,2019-08,484.0,12.0,99.0,113.0,72.0,27.0,132.0,6.0,87.0,71.0,60.0,43.0,147.0,485.0,1838.0
Barking and Dagenham,2019-09,377.0,18.0,111.0,102.0,81.0,20.0,123.0,13.0,91.0,79.0,67.0,40.0,159.0,530.0,1811.0
Barking and Dagenham,2019-10,432.0,11.0,119.0,110.0,91.0,20.0,144.0,8.0,122.0,96.0,73.0,49.0,224.0,557.0,2056.0
Barking and Dagenham,2019-11,393.0,10.0,143.0,98.0,93.0,23.0,176.0,9.0,75.0,69.0,53.0,48.0,215.0,489.0,1894.0
Barking and Dagenham,2019-12,366.0,9.0,157.0,119.0,80.0,18.0,160.0,5.0,93.0,56.0,54.0,58.0,227.0,521.0,1923.0
Barking and Dagenham,2020-01,339.0,10.0,144.0,101.0,101.0,25.0,170.0,20.0,72.0,81.0,53.0,55.0,251.0,486.0,1908.0
Barking and Dagenham,2020-02,318.0,11.0,139.0,100.0,106.0,16.0,152.0,7.0,72.0,72.0,71.0,42.0,228.0,469.0,1803.0
Barking and Dagenham,2020-03,466.0,7.0,125.0,112.0,96.0,13.0,147.0,12.0,95.0,80.0,104.0,54.0,218.0,622.0,2151.0
Barking and Dagenham,2020-04,1413.0,8.0,81.0,84.0,140.0,27.0,98.0,11.0,68.0,28.0,44.0,18.0,145.0,427.0,2592.0
Barking and Dagenham,2020-05,1118.0,14.0,57.0,92.0,183.0,22.0,111.0,14.0,85.0,43.0,50.0,33.0,161.0,512.0,2495.0
Barking and Dagenham,2020-06,718.0,29.0,80.0,123.0,181.0,38.0,104.0,19.0,98.0,50.0,54.0,27.0,176.0,547.0,2244.0
Barking and Dagenham,2020-07,661.0,22.0,100.0,124.0,120.0,26.0,144.0,14.0,93.0,58.0,67.0,32.0,148.0,600.0,2209.0
Barking and Dagenham,2020-08,686.0,17.0,86.0,117.0,85.0,26.0,167.0,5.0,129.0,46.0,71.0,29.0,143.0,607.0,2214.0
Barking and Dagenham,2020-09,641.0,27.0,87.0,117.0,95.0,27.0,141.0,18.0,118.0,62.0,71.0,36.0,179.0,556.0,2175.0
Barking and Dagenham,2020-10,639.0,14.0,85.0,122.0,146.0,21.0,131.0,15.0,107.0,69.0,42.0,46.0,225.0,535.0,2197.0
Barking and Dagenham,2020-11,750.0,13.0,108.0,101.0,140.0,32.0,125.0,18.0,130.0,69.0,92.0,42.0,217.0,523.0,2360.0
Barking and Dagenham,2020-12,620.0,4.0,113.0,109.0,100.0,29.0,138.0,13.0,69.0,46.0,57.0,43.0,179.0,482.0,2002.0
Barking and Dagenham,2021-01,688.0,5.0,87.0,103.0,86.0,11.0,122.0,7.0,81.0,30.0,74.0,33.0,189.0,469.0,1985.0
Barking and Dagenham,2021-02,585.0,4.0,105.0,109.0,121.0,20.0,116.0,16.0,66.0,50.0,49.0,30.0,185.0,449.0,1905.0
Barking and Dagenham,2021-03,600.0,16.0,81.0,87.0,140.0,33.0,121.0,11.0,85.0,49.0,64.0,38.0,176.0,561.0,2062.0
Barking and Dagenham,2021-04,531.0,23.0,85.0,107.0,121.0,23.0,154.0,6.0,114.0,40.0,64.0,30.0,161.0,564.0,2023.0
Barking and Dagenham,2021-05,469.0,17.0,106.0,125.0,109.0,32.0,130.0,9.0,111.0,47.0,70.0,40.0,183.0,589.0,2037.0
Barking and Dagenham,2021-06,507.0,20.0,90.0,143.0,123.0,16.0,156.0,8.0,126.0,46.0,61.0,41.0,199.0,617.0,2153.0
Barking and Dagenham,2021-07,521.0,14.0,75.0,123.0,125.0,21.0,154.0,12.0,120.0,42.0,58.0,29.0,175.0,629.0,2098.0
Barking and Dagenham,2021-08,499.0,15.0,112.0,155.0,107.0,19.0,141.0,12.0,109.0,37.0,70.0,20.0,191.0,523.0,2010.0
Barking and Dagenham,2021-09,439.0,18.0,81.0,119.0,116.0,24.0,169.0,11.0,109.0,46.0,42.0,38.0,181.0,577.0,1970.0
Barking and Dagenham,2021-10,441.0,18.0,118.0,116.0,116.0,40.0,153.0,12.0,135.0,54.0,79.0,45.0,200.0,561.0,2088.0
Barking and Dagenham,2021-11,357.0,14.0,102.0,110.0,111.0,25.0,170.0,14.0,115.0,62.0,48.0,56.0,232.0,511.0,1927.0
Barnet,2019-01,556.0,12.0,317.0,170.0,67.0,25.0,309.0,12.0,130.0,77.0,141.0,58.0,477.0,589.0,2940.0
Barnet,2019-02,588.0,12.0,336.0,173.0,61.0,22.0,354.0,17.0,110.0,125.0,134.0,85.0,467.0,581.0,3065.0
Barnet,2019-03,634.0,14.0,328.0,218.0,87.0,27.0,335.0,11.0,178.0,87.0,151.0,99.0,553.0,680.0,3402.0
Barnet,2019-04,688.0,13.0,286.0,165.0,49.0,26.0,364.0,17.0,125.0,89.0,121.0,76.0,506.0,566.0,3091.0
Barnet,2019-05,735.0,29.0,296.0,160.0,45.0,33.0,310.0,17.0,151.0,93.0,166.0,70.0,484.0,581.0,3170.0
Barnet,2019-06,758.0,24.0,289.0,191.0,69.0,27.0,326.0,11.0,136.0,85.0,144.0,77.0,559.0,620.0,3316.0
Barnet,2019-07,828.0,26.0,281.0,156.0,68.0,21.0,248.0,12.0,189.0,117.0,162.0,93.0,455.0,673.0,3329.0
Barnet,2019-08,790.0,21.0,227.0,139.0,78.0,29.0,244.0,7.0,127.0,92.0,152.0,53.0,378.0,568.0,2905.0
Barnet,2019-09,682.0,23.0,270.0,145.0,54.0,29.0,225.0,10.0,101.0,101.0,131.0,40.0,497.0,639.0,2947.0
Barnet,2019-10,743.0,9.0,275.0,132.0,54.0,25.0,273.0,10.0,152.0,118.0,119.0,69.0,527.0,595.0,3101.0
Barnet,2019-11,711.0,9.0,312.0,168.0,63.0,32.0,262.0,9.0,155.0,158.0,134.0,94.0,562.0,689.0,3358.0
Barnet,2019-12,615.0,15.0,346.0,157.0,49.0,17.0,295.0,11.0,142.0,129.0,137.0,60.0,526.0,583.0,3082.0
Barnet,2020-01,637.0,6.0,280.0,157.0,68.0,26.0,275.0,11.0,125.0,118.0,144.0,58.0,576.0,631.0,3112.0
Barnet,2020-02,588.0,11.0,282.0,168.0,67.0,14.0,284.0,13.0,118.0,147.0,138.0,76.0,536.0,558.0,3000.0
Barnet,2020-03,862.0,7.0,258.0,191.0,75.0,27.0,231.0,13.0,120.0,113.0,114.0,47.0,409.0,655.0,3122.0
Barnet,2020-04,2331.0,15.0,129.0,133.0,88.0,33.0,167.0,14.0,120.0,45.0,82.0,14.0,212.0,554.0,3937.0
Barnet,2020-05,2054.0,26.0,160.0,134.0,135.0,41.0,159.0,16.0,149.0,41.0,101.0,14.0,339.0,620.0,3989.0
Barnet,2020-06,1385.0,26.0,166.0,148.0,87.0,26.0,203.0,13.0,160.0,53.0,138.0,25.0,351.0,606.0,3387.0
Barnet,2020-07,1302.0,29.0,186.0,160.0,103.0,22.0,277.0,13.0,186.0,69.0,140.0,58.0,359.0,702.0,3606.0
Barnet,2020-08,1142.0,25.0,239.0,191.0,101.0,19.0,240.0,14.0,174.0,88.0,116.0,59.0,380.0,649.0,3437.0
Barnet,2020-09,1125.0,35.0,254.0,141.0,63.0,23.0,252.0,7.0,149.0,59.0,109.0,35.0,439.0,661.0,3352.0
Barnet,2020-10,1094.0,29.0,300.0,145.0,89.0,18.0,211.0,7.0,121.0,64.0,130.0,43.0,536.0,648.0,3435.0
Barnet,2020-11,1190.0,32.0,301.0,150.0,101.0,34.0,239.0,11.0,143.0,63.0,106.0,42.0,448.0,657.0,3517.0
Barnet,2020-12,1051.0,19.0,212.0,152.0,94.0,22.0,228.0,8.0,161.0,52.0,129.0,52.0,381.0,622.0,3183.0
Barnet,2021-01,1260.0,28.0,193.0,133.0,65.0,24.0,160.0,4.0,152.0,30.0,98.0,21.0,366.0,530.0,3064.0
Barnet,2021-02,1099.0,18.0,185.0,129.0,79.0,24.0,144.0,10.0,120.0,34.0,96.0,34.0,382.0,580.0,2934.0
Barnet,2021-03,1259.0,31.0,272.0,136.0,96.0,42.0,187.0,12.0,176.0,55.0,114.0,37.0,498.0,772.0,3687.0
Barnet,2021-04,1035.0,29.0,202.0,136.0,90.0,51.0,219.0,6.0,181.0,49.0,112.0,49.0,372.0,670.0,3201.0
Barnet,2021-05,995.0,26.0,151.0,169.0,87.0,33.0,224.0,6.0,227.0,42.0,126.0,43.0,462.0,754.0,3345.0
Barnet,2021-06,981.0,31.0,187.0,162.0,72.0,30.0,269.0,16.0,220.0,45.0,139.0,77.0,421.0,732.0,3382.0
Barnet,2021-07,954.0,26.0,155.0,153.0,82.0,39.0,212.0,9.0,190.0,47.0,120.0,54.0,365.0,720.0,3126.0
Barnet,2021-08,816.0,27.0,165.0,147.0,89.0,23.0,205.0,10.0,157.0,58.0,130.0,51.0,438.0,613.0,2929.0
Barnet,2021-09,853.0,28.0,178.0,160.0,68.0,21.0,239.0,11.0,156.0,81.0,124.0,62.0,376.0,757.0,3114.0
Barnet,2021-10,769.0,31.0,213.0,156.0,87.0,27.0,242.0,10.0,178.0,50.0,103.0,54.0,380.0,745.0,3045.0
