Borough,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
City of London,2020-02-15,-5.0,-9.0,-12.0,-11.0,-11.0,-11.0
City of London,2020-02-16,-3.0,-15.0,-17.5,-12.0,-12.0,-12.0
City of London,2020-02-17,-3.0,-10.666666666666666,-10.333333333333334,-8.333333333333334,-9.333333333333334,-9.333333333333334
City of London,2020-02-18,-2.75,-8.5,-8.0,-6.75,-7.5,-7.5
City of London,2020-02-19,-3.6,-7.6,-5.4,-5.4,-6.8,-6.8
City of London,2020-02-20,-4.166666666666667,-7.5,-6.333333333333333,-5.0,-6.166666666666667,-6.166666666666667
City of London,2020-02-21,-4.0,-6.714285714285714,-4.714285714285714,-4.714285714285714,-5.857142857142857,-5.857142857142857
City of London,2020-02-22,-2.7142857142857144,-4.714285714285714,-1.4285714285714286,-3.5714285714285716,-4.714285714285714,-4.714285714285714
City of London,2020-02-23,-1.4285714285714286,-1.5714285714285714,1.2857142857142858,-3.5714285714285716,-4.714285714285714,-4.714285714285714
City of London,2020-02-24,-2.0,-3.0,-1.1428571428571428,-3.5714285714285716,-3.857142857142857,-3.857142857142857
City of London,2020-02-25,-1.8571428571428572,-2.5714285714285716,-1.7142857142857142,-3.4285714285714284,-3.142857142857143,-3.142857142857143
City of London,2020-02-26,-0.8571428571428571,-2.4285714285714284,-2.2857142857142856,-3.857142857142857,-1.7142857142857142,-1.7142857142857142
City of London,2020-02-27,0.14285714285714285,-2.0,-2.0,-3.5714285714285716,-0.7142857142857143,-0.7142857142857143
City of London,2020-02-28,0.2857142857142857,-2.5714285714285716,-4.428571428571429,-3.142857142857143,-0.14285714285714285,-0.14285714285714285
City of London,2020-02-29,1.2857142857142858,-2.857142857142857,-6.0,-3.2857142857142856,-0.2857142857142857,-0.2857142857142857
City of London,2020-03-01,3.2857142857142856,-1.0,-4.142857142857143,0.0,3.0,3.0
City of London,2020-03-02,4.0,0.7142857142857143,-5.857142857142857,-0.42857142857142855,3.2857142857142856,3.2857142857142856
City of London,2020-03-03,3.4285714285714284,0.42857142857142855,-6.714285714285714,-1.2857142857142858,3.2857142857142856,3.2857142857142856
City of London,2020-03-04,2.5714285714285716,0.14285714285714285,-7.857142857142857,-1.5714285714285714,3.0,3.0
City of London,2020-03-05,0.5714285714285714,-1.7142857142857142,-10.142857142857142,-1.7142857142857142,2.5714285714285716,2.5714285714285716
City of London,2020-03-06,0.2857142857142857,-0.5714285714285714,-7.714285714285714,-2.4285714285714284,3.0,3.0
City of London,2020-03-07,-1.0,-0.42857142857142855,-6.0,-3.0,2.4285714285714284,2.4285714285714284
City of London,2020-03-08,-3.857142857142857,-3.0,-7.857142857142857,-6.857142857142857,-1.4285714285714286,-1.4285714285714286
City of London,2020-03-09,-5.0,-3.7142857142857144,-5.428571428571429,-7.428571428571429,-2.857142857142857,-2.857142857142857
City of London,2020-03-10,-6.285714285714286,-4.285714285714286,-6.285714285714286,-7.857142857142857,-3.5714285714285716,-3.5714285714285716
City of London,2020-03-11,-7.857142857142857,-4.714285714285714,-6.714285714285714,-9.285714285714286,-4.857142857142857,-4.857142857142857
City of London,2020-03-12,-9.0,-3.857142857142857,-6.428571428571429,-11.857142857142858,-7.142857142857143,-7.142857142857143
